"","ano","id_regiao","regiao","sigla_uf","pib_corrente_1_000","pib_per_capita_1_00","servicos_gov_1_000"
"102",2010,1,"Norte","AM",306446,7522.91,60229
"103",2010,1,"Norte","AM",849637,9783.93,267346
"104",2010,1,"Norte","AM",42985,5346.36,5981
"105",2010,1,"Norte","AM",82029,10003.53,12429
"106",2010,1,"Norte","AM",32590,4471.09,4116
"107",2010,1,"Norte","AM",48747,4504.41,5723
"108",2010,1,"Norte","AM",89745,4995.84,11322
"109",2010,1,"Norte","AM",205325,5464.54,30402
"110",2010,1,"Norte","AM",647440,7604.06,149995
"111",2010,1,"Norte","AM",124714,5468.23,10940
"112",2010,1,"Norte","AM",50168821,27832.52,15828206
"113",2010,1,"Norte","AM",251450,5348.76,42124
"114",2010,1,"Norte","AM",65054,3746.48,6689
"115",2010,1,"Norte","AM",271611,5238.7,41683
"116",2010,1,"Norte","AM",69664,3811.38,11605
"117",2010,1,"Norte","AM",128637,4181.81,19613
"118",2010,1,"Norte","AM",73846,4996.36,14875
"119",2010,1,"Norte","AM",78084,3650.66,9577
"120",2010,1,"Norte","AM",578337,5666.31,140885
"121",2010,1,"Norte","AM",76686,4224.43,10161
"122",2010,1,"Norte","AM",314535,11597.48,64566
"123",2010,1,"Norte","AM",193863,7526.33,39417
"124",2010,1,"Norte","AM",65376,3605.38,9105
"125",2010,1,"Norte","AM",83501,3410.03,9438
"126",2010,1,"Norte","AM",162583,4358.8,45218
"127",2010,1,"Norte","AM",108879,3464.62,13419
"128",2010,1,"Norte","AM",42613,3986.98,7165
"129",2010,1,"Norte","AM",48370,5727.64,7335
"130",2010,1,"Norte","AM",237078,4534.86,71043
"131",2010,1,"Norte","AM",84359,4422.04,9918
"132",2010,1,"Norte","AM",350169,5703.17,87482
"133",2010,1,"Norte","AM",58573,3434.16,7098
"134",2010,1,"Norte","AM",78559,6598.27,9902
"135",2010,1,"Norte","AM",102020,5994.47,13657
"136",2010,1,"Norte","AM",73588,4150.26,10846
"137",2010,1,"Norte","RR",76901,8242.36,3874
"138",2010,1,"Norte","RR",134967,8287.33,9734
"139",2010,1,"Norte","RR",5123256,18023.26,1935903
